"G1","G2","G5","G10","G20","G50"
30.09,5052.91,0,0,0,104.19
72.82,81.14,0,0,0,71.94
-16.06,-46.98,0,0,0,-6.08
192.53,162.7,0,0,0,5.98
31.39,36.84,0,0,0,22.65
410.96,286.59,0,0,0,61500.53
44.19,6.4,0,0,0,-15.86
26.12,-23.46,0,0,0,-5.56
15.5,-3.16,0,0,0,3.33
-20,-5.42,0,0,0,105.51
147.1,61.24,0,0,0,35008.06
328.51,13.84,0,0,0,10.15
-58.46,-87.47,0,0,0,98.96
16.14,-89.78,0,0,0,402
157.94,-61.08,0,0,0,347.09
-0.19,-14.32,0,0,0,-21.29
152312.57,-1.42,0,0,0,1464384.92
17.8,27.42,0,0,0,1306.61
5970.69,14576.01,0,0,0,445610.53
191086.87,2634798.48,0,0,0,23254.49
-6.91,-21.9,0,0,0,49.07
14.18,-10.06,0,0,0,-38.08
